Receta;Categoria;Ingredientes;;;;;;;
Vinagre herbal con verbena de limón;Muy bajos carbohidratos;Hojas frescas de albahaca dulce, vinagre de vino tinto;;;;;;;
Vinagre herbal con estragón;< 15 Minutos;Ramitas frescas de estragón, vinagre de vino blanco;;;;;;;
Postre de zanahoria y nuez;Postre;Harina común no tamizada, polvo de hornear, bicarbonato de sodio, canela, sal, zanahoria, mantequilla, margarina, azúcar moreno claro, azúcar granulada, huevos, cáscara de limón, jugo de limón, nueces, pasas sin semillas;;;;;;;
Postre de zanahoria con glaseado de limón;Postre;Zanahoria, piña sin azúcar, huevos, extracto de vainilla, harina común sin blanquear, azúcar, canela, bicarbonato de sodio, sal, nueces, queso crema, mantequilla sin sal, jugo de limón fresco, extracto de vainilla, azúcar en polvo;;;;;;;
Pan de plátano II;Entrada rápidos;Harina común, polvo de hornear, bicarbonato de sodio, canela, puré de manzana, azúcar granulada, plátanos, extracto de vainilla;;;;;;;
Mejor pan de plátano;Entrada rápidos;Mantequilla, azúcar granulada, huevos, plátanos, harina común, bicarbonato de sodio, sal, vainilla;;;;;;;
Marinada para salsa barbacoa;< 15 Minutos;Ajo seco, sal, chile en polvo, mostaza seca, azúcar moreno, salsa Worcestershire, salsa de tomate, vino tinto seco, jugo de limón;;;;;;;
Postre de vainilla II;Postre;Harina común, polvo de hornear de doble acción, sal, extracto de vainilla, mantequilla, margarina, azúcar, leche, huevos, cremor tártaro, sal, azúcar, vainilla, agua hirviendo;;;;;;;
Postre blanco con glaseado de coco y pacanas;Postre;Mantequilla, azúcar, huevos, harina, bicarbonato de sodio, suero de leche, mantequilla, coco, queso crema, pacanas, azúcar en polvo;;;;;;;
Ensalada de pasta con frutas;Frutas;Conchas de pasta medianas, trozos de piña sin azúcar, naranja, uvas verdes, uvas rojas, manzana, plátano firme, yogur natural;;;;;;;
Ensalada de pasta para potluck;Potluck;Pasta deseada, macarrones en espiral tricolores, pasta deseada, guisantes frescos, aceitunas negras, queso cheddar ahumado, cebollín, albahaca, eneldo;;;;;;;
Ensalada de pasta con espinacas;< 15 Minutos;Espinacas frescas, repollo rojo, tocino, cebollines;;;;;;;
Postre de calabaza con cobertura de streusel;Postre;Calabaza, huevo, canela molida, jengibre molido, nuez moscada, sal, azúcar moreno, harina, mantequilla, margarina, nueces;;;;;;;
Glaseado para Postre;Postre;Margarina, queso crema, azúcar en polvo, vainilla, pacanas;;;;;;;
Postre con plátanos;Postre;Piña, azúcar, queso crema, pudín instantáneo de vainilla, plátanos, Cool Whip, pacanas, coco, cerezas;;;;;;;
Batido de fresa y plátano;Batidos;Fresas, plátanos, yogur natural, leche desnatada, jugo de limón, miel;;;;;;;
Batido de fresa;Batidos;Fresas frescas, leche desnatada, yogur natural bajo en grasa, azúcar moreno, esencia de vainilla;;;;;;;
Pargo en papel manteca;Pargo;Zanahoria, jugo de lima, pimentón, alcaparras, perejil;;;;;;;
Pargo con verduras;Pargo;Jugo de limón, tomates guisados, apio, cebolla, pimiento morrón, champiñones, tomillo, ajo en polvo;;;;;;;
Pargo con vegetales;Pargo;Calabacín, cebolla, champiñones, rodajas de limón, aceite de oliva, margarina, queso parmesano, pimienta, ajo en polvo;;;;;;;
Pargo a la parrilla con glaseado de salsa;Salsas;Jugo de lima, salsa, mayonesa baja en grasa, yogur bajo en grasa, cayena, pimienta negra, rodaja de lima;;;;;;;
Pargo Veracruz;Pargo;Aceite de oliva, cebolla, ajo, pimiento morrón amarillo, tomates guisados estilo mexicano con jalapeños, ajo en polvo;;;;;;;
Pargo con albahaca y pimientos;Pargo;Pimientos rojos, pimientos verdes, cebolla, albahaca fresca, hojas de albahaca secas, pimienta, pimentón, limón;;;;;;;
Piruletas de San Valentín;Dulces;Chocolate blanco importado, chocolate amargo importado;;;;;;;
Macarrones con queso;Queso;Mantequilla sin sal, leche, harina común, sal, nuez moscada, pimienta negra, cayena, queso cheddar blanco fuerte, gruyere, queso pecorino romano, macarrones en codo;;;;;;;
Paté de alcachofa;Bajo en proteínas;Alcachofas en conserva en agua, jugo de limón, aceite de oliva, queso parmesano bajo en grasa, orégano, pimienta, nueces, queso ricotta bajo en grasa, tofu sedoso bajo en grasa;;;;;;;
Champiñones rellenos de calabacín y queso;Queso;Champiñones frescos, calabacín, queso parmesano bajo en grasa, mayonesa sin grasa, sal, pimienta negra, salsa Worcestershire, queso parmesano bajo en grasa;;;;;;;
Paquetes de hummus;Frijoles;Pepino, tomates, cebollín, brotes de alfalfa, brotes de frijoles, perejil fresco, garbanzos en conserva, tahini, jugo de limón, semillas de sésamo tostadas, agua, sal, comino molido, pimienta, diente de ajo;;;;;;;
Tarta de Crema Agria con Pasas;Pie;huevos, azúcar, crema agria, nuez moscada, clavo, canela, pasas;;;;;;;
Mezcla de Aderezo Ranch Plus;Segundo;hojuelas de perejil seco, ajo en polvo, cebolla en polvo, eneldo, mayonesa, suero de leche, salsa de chile, pepino, semillas de apio;;;;;;;
Burritos de Carne y Frijoles II;Frijoles;salsa, agua;;;;;;;
Manzanas Glaseadas Rojas;Postre;manzanas rojas crujientes, azúcar, agua, jarabe de maíz ligero;;;;;;;
Panecillos de Papa Refrigerados;Papa;papas, harina, levadura seca, leche, manteca, azúcar, sal, huevos;;;;;;;
Asado de Plato Principal con Glaseado de Ruibarbo;Plato Principal;lomo de Plato Principal sin hueso, ruibarbo, maicena, agua, miel, mostaza estilo Dijon, vinagre de vino;;;;;;;
Arroz con Hierba de Limón y Cebollín;Arroz Blanco;cebolla, cúrcuma, arroz blanco de grano largo, agua, hierba de limón, sal, cebollín;;;;;;;
Trifle de Frambuesa Rico;Frambuesas;jerez medio, frambuesas, azúcar, leche;;;;;;;
Tarta de Galletas Ritz;Pie;azúcar, polvo de hornear, sal, nueces de pecan, vainilla;;;;;;;
Sopa de Carne con Cebada;Carne;costillas de res con hueso, agua, tomates, cebolla, sal, pimienta, zanahorias, apio, repollo, cebada perla de cocción rápida, perejil fresco;;;;;;;
Lechón Asado;Asado;miel, salsa de soja, apio, salvia seca;;;;;;;
Pollo Italiano Asado con Verduras;Segundo;papas pequeñas nuevas, pechugas de pollo sin hueso y sin piel, tomates cherry amarillos, tomates cherry rojos en forma de pera;;;;;;;
Pargo Rojo Asado;Muy Bajo en Carbohidratos;pargo rojo, cebollines, jugo de limón, orégano seco, pimienta, queso feta, aceitunas maduras;;;;;;;
Rock 'N' Rollers;Postre;mantequilla, coco, nueces, malvaviscos miniatura, chispas de chocolate, mantequilla;;;;;;;
Postre de Cerveza de Raíz;Postre;huevos, pudín instantáneo de vainilla, vainilla;;;;;;;
Salmón Teriyaki con Zanahorias y Cebollas;Menos de 30 Minutos;salsa de soja, mirin, jerez medio-seco, vinagre de manzana, azúcar, filetes de salmón, zanahorias, cebolla, partes superiores de cebollín;;;;;;;
Chuletas de San Francisco;Plato Principal;ajo, jerez seco, caldo, salsa de soja, azúcar moreno, hojuelas de pimienta roja triturada, maicena, agua;;;;;;;
Vieiras a la Normanda;Segundo;manzanas, manzanas, vieiras frescas, masa de hojaldre, mantequilla, perejil, jugo y ralladura de limón, vino blanco;;;;;;;
Schweinsteak;Plato Principal;harina, sal, pimienta, caldo, kétchup, salsa Worcestershire, vinagre, pimienta de cayena, clavos, pimienta de Jamaica, laurel, ajo, cebolla, agua, harina;;;;;;;
Schweinsteak - Filetes de Plato Principal a la Parrilla;Plato Principal;filetes de Plato Principal sin hueso, vinagre de vino gourmet, kétchup, cebolla, ajo, mostaza Dijon, pimienta, azúcar, tomillo fresco, romero fresco, salsa Tabasco;;;;;;;
Mariscos Newburg en Salsa;Segundo;camarones, vieira de bahía, langosta, mantequilla sin sal, harina, salsa Worcestershire, jerez seco, jugo de limón fresco, sal, pimienta blanca, nuez moscada, pimentón;;;;;;;
Seen Goo Gailau to Yan;Plato Principal;pechugas de pollo, maicena, sal, polvo de cinco especias chinas, cebollas de primavera, brotes de bambú, nueces, salsa de soja ligera, maicena, agua;;;;;;;
Hoagie de Pavo Picante;Almuerzos/Bocadillos;cebolla, diente de ajo, aceite de oliva, pechuga de pavo, queso azul, tomillo seco, hierba de verano;;;;;;;
Postre de Pastor IV;Carne;cebolla, zanahoria, cordero, hierbas mixtas, almidón de maíz, papas, mantequilla;;;;;;;
Tacos de Carne Desmenuzada;Carne;pecho de res, tortillas de maíz, lima, cilantro, margarina, jugo de lima;;;;;;;
Salsa de Camarones para Pasta;Saludable;camarones medianos, dientes de ajo, perejil, vino blanco, mantequilla, aceite de oliva, agua, queso parmesano, pasta;;;;;;;
Pan de Salchicha Siciliano;Plato Principal;salchicha, queso mozzarella, huevo, queso romano;;;;;;;
Sopa de Verduras con Hamburguesa;Bajo en Colesterol;hamburguesa, tomates, tomillo, zanahorias, zanahorias frescas, apio, cebolla, albahaca, hoja de laurel, maíz, papa;;;;;;;
Licor Casero Bailey's Irish Cream;Bebidas;mitad y mitad, huevos, canela, vainilla;;;;;;;
Licor Bailey's Irish Cream;Bebidas;huevos, leche enlatada;;;;;;;
Licor Bailey's Irish Cream;Europeo;huevos, polvo de espresso instantáneo, vainilla, agua;;;;;;;
Pollo Ga Kho (Pollo con Jengibre);Plato Principal;jengibre fresco, ajo, pollo sin hueso, azúcar, salsa de soja espesa, salsa de pescado, pimienta, cebolla, sal;;;;;;;
Pollo con Hierba de Limón;Pollo;cebolla, ajo, pechugas de pollo sin hueso, pimienta, hierba de limón, salsa de pescado, azúcar, pasta de curry, curry en polvo, chile rojo, agua, leche de coco, maní, cilantro;;;;;;;
Ga Xe Phay;Plato Principal;sal, cebolla, jugo de lima, pimienta negra, menta;;;;;;;
Pollo al Ajo;Pollo;dientes de ajo, pechugas de pollo, salsa de ostras, vino chino, vino de jerez, sal, agua;;;;;;;
Pasta y Frijoles;Entre semana;frijoles cannellini, pasta rigatoni, ajo, tocino sin ahumar, salvia, romero, aceite de oliva;;;;;;;
Ensalada de Pasta con Pimientos Dulces y Eneldo;Segundo;arvejas mange-tout, vainitas, coliflor, zanahorias, pimientos dulces amarillos, pimiento verde, cebollas chinas, eneldo fresco, ajo, vinagre tinto, azúcar granulada, agua;;;;;;;
Pasta con Salsa de Queso Azul;Queso;queso azul, queso crema light, vino de jerez, cebolla, tomates, pasta, perejil, albahaca, orégano, sal, pimienta;;;;;;;
Pasta con Pimientos Verdes Dulces;Bajo colesterol;pasta seca, aceite de oliva virgen extra, sal;;;;;;;
Pasta con Salsa de Maní Estilo Szechuan;Fruta;pasta, brócoli, mantequilla de maní, agua, salsa de soya, vinagre de arroz, diente de ajo, tomates cherry;;;;;;;
Pastrami;Carne;carne de res silverside, sal para conservas, sal kosher, pimienta negra molida, azúcar morena clara, azúcar morena oscura, jengibre fresco, ajo fresco, cilantro molido, pimienta negra molida;;;;;;;
Patatas Bravas;Española;papas, sal, mayonesa, ajo, aceite de oliva, cebollas, ajo, tomates, pasta de tomate, vino blanco seco, agua, perejil, hojuelas de ají rojo, salsa Tabasco, hoja de laurel, azúcar, sal, pimienta;;;;;;;
Postre de Durazno con Cubierta Crujiente de Almendra;Postre;jugo de limón, azúcar, maicena, nuez moscada, sal, ralladura de limón, harina todo uso, azúcar, polvo de hornear, sal, mantequilla sin sal, suero de leche, crema de leche, azúcar morena clara, canela;;;;;;;
Bolsillos suabos (Maultaschen);Segundo;harina, huevos, sal, mantequilla, tocino, cebollas, salchicha, espinaca, salchicha de granjero, huevos, perejil, sal, pimienta, huevo, leche;;;;;;;
Pollo mexicano en pipián;Mexicana;pollo, chiles anchos secos, agua, cebollas, pimiento verde, zanahorias, caldo de pollo, agua, mantequilla de maní, sal, canela, tomillo seco entero, clavo, arroz, tortilla;;;;;;;
Espagueti picante al microondas;Espagueti;espagueti, curry en polvo, dientes de ajo, cebollas, pasas sultanas, perejil, piñones;;;;;;;
Ensalada veraniega con menta;Piña;rodaja de piña, tomates firmes maduros, pepino, menta;;;;;;;
Postre Mississippi Mud II;Postre;mantequilla, azúcar, huevos, harina, sal, coco, vainilla, crema de malvaviscos, mantequilla, vainilla, azúcar en polvo, leche;;;;;;;
Pesca del día a la barbacoa;Plato Principal;limones, limas, cebolla, pimientos verdes, cebollinos, vieiras frescas, camarones pequeños frescos, vino blanco;;;;;;;
Pollo Moghlai;Plato Principal;pollos enteros, sal, pimienta negra, mantequilla sin sal, vainas de cardamomo, clavos, rama de canela, hojas de laurel, pasas, yogur, comino, pimienta de cayena;;;;;;;
Postre de calabacín y chocolate de mamá;Postre;margarina, azúcar, huevos, vainilla, harina, polvo de hornear, bicarbonato de sodio, canela, calabacín, chispas de chocolate;;;;;;;
Galletas monstruo;Postre;azúcar moreno, azúcar, margarina, huevos, vainilla, mantequilla de maní, bicarbonato de sodio, avena;;;;;;;
Donas de mozzarella y tomate;Panes;harina blanca fuerte, sal, pimienta negra, levadura seca granulada, queso parmesano, aceite de oliva, agua, huevo, queso parmesano, tomates secos, queso mozzarella;;;;;;;
Scones de Miel, Cheddar y Chutney;Scones;harina blanca sin blanquear, polvo de hornear, bicarbonato de sodio, sal, mantequilla, queso cottage bajo en grasa, chutney de mango, queso cheddar fuerte, miel, suero de leche bajo en grasa;;;;;;;
Pan Hono - Honokakor;Panes;levadura comprimida activa, mantequilla, margarina, leche, jarabe de maíz claro, sal, semillas de anís, hinojo, harina de uso general;;;;;;;
Jamón Horneado con Salsa de Durazno y Nueces;Fruta;jamón, caldo de pollo bajo en sodio, maicena, azúcar morena, nuez de California, mostaza Dijon, jugo de limón fresco;;;;;;;
Jaegerschnitzel;Plato Principal;huevos, tocino, cebollas, champiñones, pasta de tomate, agua, vino tinto seco, tomillo seco, sal, pimienta, pimentón, perejil, crema agria;;;;;;;
Sopa Fácil de Brócoli de Joan;Verduras;floretes de brócoli frescos, cebolla, ajo, caldo de pollo enlatado, agua, eneldo fresco, albahaca, pasta pequeña;;;;;;;
Hamburguesas de Ken;Carne;carne molida magra, salsa barbacoa;;;;;;;
Pollo Frito Estilo KFC;Pollo Entero;pollo broiler, agua, sal, glutamato monosódico, polvo de cebolla, caldo de pollo instantáneo seco, sal sazonada, pimienta negra, harina;;;;;;;
Postre de Nuez Estilo KFC;Postre;huevos, jarabe de maíz oscuro, sal, azúcar, jugo de limón, vinagre, mantequilla, vainilla, mitades de nuez;;;;;;;
Espagueti Balcánico;Espagueti;espagueti, fideos de trigo sarraceno, aceite de oliva, pasta de tomate, mantequilla, agua, ajo;;;;;;;
Postre de Limonada en Copa;Postre;mezcla para pudín de limón, crema batida (Cool Whip), arándanos congelados, frambuesas congeladas;;;;;;;
Filetes de Pescado al Limón;Segundo;filetes de lenguado, filetes de platija, pimienta con limón, tomate roma, cebolla verde, albahaca seca;;;;;;;
Postre de Lentejas;Lentejas;lentejas rojas, agua, hoja de laurel, queso, cebolla, perejil, jugo de limón, huevo, mantequilla;;;;;;;
Enchiladas de Linda;Mexicana;cebolla, aceitunas maduras, queso cheddar suave, salsa de tomate, tortillas de maíz;;;;;;;
Linzertorte;Postre;harina de uso general, clavo de olor, canela, azúcar, cáscara de limón, mantequilla sin sal, yemas de huevo crudas, extracto de vainilla, huevo, azúcar glas;;;;;;;
Bolitas de Pescado Pequeñas;Entrada;cebolla, huevo, leche evaporada;;;;;;;
Mini Pizzas Individuales;Parrilla;salsa de tomate, orégano, queso, mostaza;;;;;;;
Hígado de Ternera a la Veneciana;Vísceras de Res;hígado de ternera, vinagre, agua, aceite de oliva virgen extra, perejil, mantequilla, sal;;;;;;;
Mabo Dofu - Tofu con Carne;Segundo;carne molida, carne de res picada, ajo, chiles, puerro, salsa de soya, azúcar, maicena, agua, caldo;;;;;;;
Macarrones con Queso a lo Rey;Pollo;(Sin ingredientes registrados);;;;;;;
Compota de Arándanos de Maine;Postre;queso cottage, arándanos frescos, jarabe de arce oscuro;;;;;;;
Chutney Estilo Mayor Grey;Chutneys;mangos verdes, azúcar morena, cebollas picantes, sal gruesa, jengibre fresco, ajo, pasas, nuez moscada, clavos de olor enteros, bayas de pimienta de Jamaica, vinagre de vino, jengibre en conserva, grosellas secas;;;;;;;
Pollo al Mango;Pechuga de Pollo;pechugas de pollo sin hueso ni piel, caldo de pollo bajo en sodio, cáscara de lima, jugo de lima, azúcar morena, curry en polvo, maicena, cebolla roja, ajo, aceite de canola, mangos, papaya, arroz, cáscara de lima;;;;;;;
Pan de Plátano y Nueces;Panes con Levadura;leche, plátano, huevo, mantequilla, margarina, harina para pan, azúcar, sal, canela, levadura seca activa, levadura para máquina de pan, nueces;;;;;;;
Pan de Nuez y Cerezas Maraschino ABM;Panes con Levadura;leche, harina blanca para pan, azúcar, sal, mantequilla, pasas, semillas de girasol, nueces, canela, jengibre, levadura seca activa, levadura rápida, cereza maraschino;;;;;;;
Postre Margarita;Postre;mantequilla, margarina, azúcar, limas;;;;;;;
Langosta Hervida Estilo Martha Stewart;Langosta;zanahorias, apio, tomillo fresco, perejil fresco de hoja plana, hoja de laurel, vino blanco seco, granos de pimienta negra, sal, langostas vivas, mantequilla, limones;;;;;;;
Ensalada de Papa Estilo Martha Stewart;Papa;papas, sal, vermut seco, vinagre de vino blanco, azúcar, crème fraîche, crema agria, semillas de apio, pimienta, cebollinos, perejil fresco de hoja plana;;;;;;;
Asado de Toro Estilo Maryland;Carne;(Sin ingredientes registrados);;;;;;;
Pollo Hoisin de Matauwhi Bay;Pollo;piezas de pollo, ajo, miel, vino jerez, salsa picante de chile, salsa hoisin, salsa de soya, polvo de cinco especias, maicena, agua;;;;;;;
Guacamole con crema agria;Fruta;aguacate, crema agria, salsa, diente de ajo, cebolla dulce, cilantro, perejil, tomates, aceitunas negras, jugo de lima, sal;;;;;;;
Guacamole estilo Rancho De Chimayo;Mexicana;aguacates, chile verde, tomates, cebollines, cebollinos, mayonesa, sal, pimienta blanca, diente de ajo, salsa Worcestershire;;;;;;;
Sándwiches de carne deshebrada para medio tiempo;Segundo;carne de res sin hueso (paleta), cebolla, dientes de ajo, sal, pimienta, agua, pasta de tomate, azúcar morena, maicena;;;;;;;
Hojaldres de jamón y queso;Queso;jamón, mostaza, rábano picante, mayonesa, cebolla, polvo de hornear, queso, huevo;;;;;;;
Pescado al horno con naranja;Fruta;mantequilla, dientes de ajo, naranja, sal, pimienta;;;;;;;
Sopa de hamburguesa más fácil;Sopa clara;carne molida, cebolla, papas, apio, zanahorias, repollo, jugo de tomate;;;;;;;
Sidra de manzana dura;Bebidas;azúcar, energizante para levadura, tabletas Campden, levadura para vino común;;;;;;;
Remolachas estilo Harvard II;Verdura;manteca, harina de trigo, agua hirviendo, azúcar morena, vinagre, sal, pimienta, macis, clavo en polvo, remolachas;;;;;;;
Sopa de frijoles de cosecha;Legumbres;frijol blanco, jamón, salchicha, papa, sal, salvia, leche, agua, zanahorias, cebolla, orégano, pimienta;;;;;;;
Cazuela de papas hash;Desayuno;papas hash sencillas, queso cheddar, crema agria, cebolla, apio, pimiento verde, pimiento rojo, mantequilla, sal, pimienta negra;;;;;;;
Cazuela de papas hash II;Desayuno;cebollas, harina de trigo, mostaza en polvo, sal, leche descremada, caldo de pollo sin grasa, queso cheddar bajo en grasa, queso suizo bajo en grasa, pimienta, crema agria sin grasa, papas hash congeladas estilo sureño, pimentón;;;;;;;
Pan hawaiano;Panes con levadura;levadura seca, harina, leche en polvo, coco, sal, azúcar, queso crema, trozos de piña;;;;;;;
Dip de frutas hawaiano;Papaya;mezcla instantánea de pudín sabor vainilla, leche, crema agria, piña en jugo, coco, fresa, melón, kiwi, naranja, papayas, mango;;;;;;;
Chutney hawaiano de papaya;Chutneys;papayas, plátanos firmes, azúcar morena, pasas, vinagre de vino blanco, clavos, sal, piña, pimienta dulce, ajo;;;;;;;
Tostadas francesas al horno;Desayuno;requesón bajo en grasa, leche descremada, azúcar, huevo, vainilla;;;;;;;
Postre de calabaza saludable;Postre;harina de trigo, sal, leche descremada, calabaza, canela, jengibre, nuez moscada, pimienta dulce, macis, clavo, sustituto de azúcar, sustituto de huevo;;;;;;;
Salsa de nuez con hierbas;postre;ueso parmesano, nueces pecanas, perejil fresco, albahaca seca, ajo, sal, aceite de oliva;;;;;;;
Fruta;Postre;Huevos, semillas de amapola;;;;;;;
queso parmesano, nueces pecanas, perejil fresco, albahaca seca, ajo, sal, aceite de oliva;Dulces;Melaza, azúcar, mantequilla, vinagre, bicarbonato de sodio;;;;;;;
Galletas de Té Básicas;Entrada;Harina, polvo de hornear, sal, manteca vegetal, leche;;;;;;;
Scones Ingleses Cremosos;Scones;Harina, azúcar, polvo de hornear, sal, manteca vegetal, huevos, leche;;;;;;;
Tartaletas de Mantequilla Premiadas;Postre;Azúcar moreno, pasas sin semillas, nueces pecán, mantequilla, margarina, huevo, leche, vainilla;;;;;;;
Nurnberger;Dulces;Miel, huevo, jugo de limón, azúcar moreno, ralladura de limón, harina, bicarbonato de sodio, nuez moscada, clavo, canela, pimienta de Jamaica, fruta confitada, azúcar glass, ron, agua;;;;;;;
Postre de Lima Key Caribeño;Postre;Coco, leche condensada azucarada, jugo de lima key, ralladura de lima key, ron oscuro, crema agria, azúcar;;;;;;;
Montones de Coco;Postre;Leche evaporada, azúcar moreno, jarabe de maíz, mantequilla, coco;;;;;;;
Montones de Coco II;Postre;Coco, azúcar glass, huevo, sal;;;;;;;
Postre de Ruibarbo Fresco;Postre;Azúcar, maicena, nuez moscada molida, mantequilla, margarina, ruibarbo;;;;;;;
Galletas Buttery Drop;Galleta;Azúcar, leche, huevo, vainilla, harina de trigo, sal, levadura en polvo;;;;;;;
Postre de Maíz Dulce Chi Chi;Maíz;Mantequilla, margarina, harina de maíz masa, agua, maíz congelado, azúcar, harina de maíz amarilla, levadura en polvo, sal, chile, perejil;;;;;;;
Postre Africano de Jengibre;Postre;Harina, azúcar, jengibre, mantequilla, agua;;;;;;;
Postreitos de Calabacín;Postre;Calabacines, cebolla, mantequilla, diente de ajo, queso cheddar, albahaca, huevos, pimienta, masa de hojaldre congelada;;;;;;;
Galletas Crisco;Postre;Manteca vegetal, azúcar morena, azúcar blanca, huevo, bicarbonato de sodio, cremor tártaro, harina, vainilla;;;;;;;
Galletas Crisco II;Postre;Harina, manteca vegetal, huevos, levadura en polvo, azúcar, vainilla, azúcar en polvo, leche;;;;;;;
Postre Chiffon de Banana y Suero de Leche;Postre;Huevos, azúcar, harina, levadura en polvo, bicarbonato de sodio, sal, vainilla, banana, suero de leche, nueces;;;;;;;
Bolas de Palomitas de Caramelo Kraft;Postre;Agua;;;;;;;
Postre de Mora;Postre;Moras, mantequilla, azúcar, harina leudante, leche;;;;;;;
Stroganoff de Res con Eneldo;Carne;Mantequilla, champiñones, cebolla, maicena, agua, crema agria, eneldo seco, mantequilla, pimentón;;;;;;;
Fudge Cremoso de Chocolate Oscuro;Dulce;Malvaviscos pequeños, sal, extracto de vainilla;;;;;;;
Glaseado para Galletas;Postre;Azúcar en polvo, leche evaporada;;;;;;;
Cuadrados de Mantequilla de Maní;Postre;Margarina, azúcar morena, azúcar blanca, huevo, mantequilla de maní, vainilla, bicarbonato de sodio, sal, harina, avena rápida;;;;;;;
Wraps de Filete Oriental - Occidental;Bocadillo;Bistec de falda, cebolla china, sal, pimienta, tortillas de harina, vinagre de arroz, miel;;;;;;;
Crema Brûlée de Almendra;Postre;Crema espesa, azúcar granulada, sal, azúcar morena clara;;;;;;;
Postre de Semillas de Amapola;Postre;Semillas de amapola, suero de leche, harina, levadura en polvo, bicarbonato de sodio, sal, mantequilla, azúcar, huevos, extracto de vainilla, canela;;;;;;;
Salsa de Pizza Deliciosa;Salsas;Puré de tomate, ajo, aceite de oliva, sal, agua;;;;;;;
Postre de Manzana Bajo en Grasa;Postre;Margarina, azúcar morena, suero de leche, harina de trigo, harina integral, bicarbonato de sodio, levadura en polvo, canela, sal, manzanas;;;;;;;
Maíz Colorido;Maíz;Pimiento verde, tomates, zanahoria, aceitunas verdes, maíz congelado, agua, pimienta;;;;;;;
Aderezo de Arce y Amapola;Aderezos;Mayonesa, jarabe de arce, vino tinto, vinagre de vino tinto, azúcar, semillas de amapola;;;;;;;
Adobo de Plato Principal y Pollo;Pollo;Plato Principal sin hueso, muslos de pollo, vinagre blanco, salsa de soya, ajo, sal, pimienta negra, agua;;;;;;;
Postre de Coca-Cola;Postre;Azúcar, harina, sal, suero de leche, bicarbonato de sodio, vainilla, huevos, margarina, mantequilla, manteca, malvaviscos pequeños, extracto de vainilla;;;;;;;
Stromboli de Pollo Relleno de Jenny;Pollo;Agua, aceite de oliva, sal, miel, harina;;;;;;;
Sopa Chowder de Pollo y Maíz;Sopa chowder;Pollo, mantequilla, papas, maíz en grano, sal, pimienta, perejil, huevos duros;;;;;;;
Sopa Chowder de Pollo y Maíz con Queso;Sopa chowder;Pollo, maíz, pimientos, apio, leche, queso monterey jack;;;;;;;
Aderezo Japonés para Ensalada;Aderezos;Vinagre de arroz, kétchup, apio, jengibre fresco, pimienta, cebolla, salsa de soya, agua, cáscara de limón, sal;;;;;;;
Aderezo Japonés Sukiyaki de Windy;Aderezos;Sal, vinagre de arroz, pimienta negra gruesa, sazonador Accent, glutamato monosódico, azúcar;;;;;;;
Scrapple de Philadelphia;Desayuno;Sal, salvia, mejorana, pimienta negra, harina de maíz, harina integral;;;;;;;
Copas de Mantequilla de Maní tipo Reese’s;Dulce;Migas de galleta graham, mantequilla, azúcar en polvo, mantequilla de maní, vainilla, chispas de chocolate;;;;;;;
Muffins de Flor de Naranja;Pan Rápido;Huevo, azúcar, mermelada, azúcar, harina de trigo, canela, manteca, mezcla para bizcochos, pacanas, nuez moscada, mantequilla, margarina;;;;;;;
Cuadrados de Ruibarbo;Postre;Harina, azúcar en polvo, mantequilla, azúcar, harina, huevos, vainilla, ruibarbo fresco, ruibarbo congelado;;;;;;;
Salsa de Pimiento Dulce para Pasta;Bajo en Proteína;Cebolla, tomates ciruela, aceite de oliva, tomates ciruela, mejorana;;;;;;;
Donas de Alice;Pan;Huevos, azúcar, leche, manteca, extracto de vainilla, harina, polvo de hornear, sal, mantequilla;;;;;;;
Arroz Frito con Pollo II;Pollo;Pollo, salsa de soya, arroz de grano largo, caldo de pollo, cebolla, pimiento verde, apio, huevos, lechuga, col china;;;;;;;
Pollo al Sésamo con Salsa de Miel;Pollo;Mayonesa, mostaza seca, semillas de sésamo, pollo, pavo;;;;;;;
Postre de Manzana y Fresa;Postre;Azúcar granulada, harina común, ralladura de limón, canela, manzanas, jugo de limón, harina, azúcar, polvo de hornear, bicarbonato de sodio, sal, mantequilla, suero de leche, fresa;;;;;;;
Huevos para Brunch;Desayuno;Tocino, mostaza seca, cebolla, leche, queso cheddar, huevos, muffins ingleses;;;;;;;
Hamburguesa Feta del Sr. Walker;Carne;Hamburguesas de res, salsa Tabasco, queso feta griego, aceite de oliva, diente de ajo, cebollas, chalotes, orégano seco, tomillo fresco, sal, pimienta;;;;;;;
Postreitos de Crema Agria;Postre;Manteca batida, azúcar, huevos, bicarbonato de sodio, crema agria, harina común, sal, cremor tártaro, macis;;;;;;;
Colección(4) Tapioca;Postre;Leche evaporada, tapioca instantánea, azúcar, sal, agua, café muy fuerte, vainilla real;;;;;;;
Crema de Tapioca;Postre;Leche, tapioca instantánea, azúcar, huevo, sal, vainilla real;;;;;;;
Pudín de Tapioca y Natilla;Postre;Leche, huevos, tapioca instantánea, azúcar, sal, mantequilla;;;;;;;
Ensalada de Verduras Marinadas;Vegetales;Azúcar, vinagre de sidra, sal, mostaza seca, semilla de apio, cabeza de coliflor, brócoli, zanahorias, apio, rábano, cebollas verdes, pimiento verde, aceitunas negras, tomates cherry;;;;;;;
Orzo Horneado con Queso Griego;Queso;Pasta orzo, aceite de oliva, queso feta, eneldo seco, queso kasseri;;;;;;;
